eng_date,province,suicide
Sep 2019,Sudurpashchim,39
Oct 2019,Bagmati,118
Oct 2019,Gandaki,36
Oct 2019,Karnali,25
Oct 2019,Lumbini,90
Oct 2019,Province 1,91
Oct 2019,Province 2,46
Oct 2019,Sudurpashchim,40
Nov 2019,Bagmati,117
Nov 2019,Gandaki,43
Nov 2019,Karnali,21
Nov 2019,Lumbini,89
Nov 2019,Province 1,102
Nov 2019,Province 2,52
Nov 2019,Sudurpashchim,44
Dec 2019,Bagmati,105
Dec 2019,Gandaki,38
Dec 2019,Karnali,19
Dec 2019,Lumbini,78
Dec 2019,Province 1,92
Dec 2019,Province 2,50
Dec 2019,Sudurpashchim,36
Jan 2020,Bagmati,93
Jan 2020,Gandaki,38
Jan 2020,Karnali,17
Jan 2020,Lumbini,75
Jan 2020,Province 1,92
Jan 2020,Province 2,44
Jan 2020,Sudurpashchim,35
Feb 2020,Bagmati,86
Feb 2020,Gandaki,44
Feb 2020,Karnali,18
Feb 2020,Lumbini,85
Feb 2020,Province 1,97
Feb 2020,Province 2,56
Feb 2020,Sudurpashchim,39
Mar 2020,Bagmati,98
Mar 2020,Gandaki,44
Mar 2020,Karnali,15
Mar 2020,Lumbini,89
Mar 2020,Province 1,111
Mar 2020,Province 2,57
Mar 2020,Sudurpashchim,45
Apr 2020,Bagmati,117
Apr 2020,Gandaki,54
Apr 2020,Karnali,24
Apr 2020,Lumbini,103
Apr 2020,Province 1,127
Apr 2020,Province 2,63
Apr 2020,Sudurpashchim,53
May 2020,Bagmati,135
May 2020,Gandaki,61
May 2020,Karnali,35
May 2020,Lumbini,122
May 2020,Province 1,127
May 2020,Province 2,87
May 2020,Sudurpashchim,57
Jun 2020,Bagmati,196
Jun 2020,Gandaki,73
Jun 2020,Karnali,41
Jun 2020,Lumbini,144
Jun 2020,Province 1,165
Jun 2020,Province 2,131
Jun 2020,Sudurpashchim,68
Jul 2020,Bagmati,204
Jul 2020,Gandaki,81
Jul 2020,Karnali,45
Jul 2020,Lumbini,158
Jul 2020,Province 1,162
Jul 2020,Province 2,113
Jul 2020,Sudurpashchim,75
Aug 2020,Bagmati,138
Aug 2020,Gandaki,66
Aug 2020,Karnali,43
Aug 2020,Lumbini,141
Aug 2020,Province 1,122
Aug 2020,Province 2,74
Aug 2020,Sudurpashchim,77
Sep 2020,Bagmati,126
Sep 2020,Gandaki,52
Sep 2020,Karnali,34
Sep 2020,Lumbini,127
Sep 2020,Province 1,106
Sep 2020,Province 2,75
Sep 2020,Sudurpashchim,68
Oct 2020,Bagmati,130
Oct 2020,Gandaki,44
Oct 2020,Karnali,33
Oct 2020,Lumbini,110
Oct 2020,Province 1,105
Oct 2020,Province 2,68
Oct 2020,Sudurpashchim,60
Nov 2020,Bagmati,124
Nov 2020,Gandaki,45
Nov 2020,Karnali,33
Nov 2020,Lumbini,106
Nov 2020,Province 1,114
Nov 2020,Province 2,64
Nov 2020,Sudurpashchim,58
Dec 2020,Bagmati,114
Dec 2020,Gandaki,48
Dec 2020,Karnali,33
Dec 2020,Lumbini,98
Dec 2020,Province 1,110
Dec 2020,Province 2,76
Dec 2020,Sudurpashchim,47
Jan 2021,Bagmati,116
Jan 2021,Gandaki,55
Jan 2021,Karnali,27
Jan 2021,Lumbini,82
Jan 2021,Province 1,119
Jan 2021,Province 2,72
Jan 2021,Sudurpashchim,41
Feb 2021,Bagmati,110
Feb 2021,Gandaki,49
Feb 2021,Karnali,15
Feb 2021,Lumbini,91
Feb 2021,Province 1,129
Feb 2021,Province 2,72
Feb 2021,Sudurpashchim,46
Mar 2021,Bagmati,121
Mar 2021,Gandaki,47
Mar 2021,Karnali,19
Mar 2021,Lumbini,108
Mar 2021,Province 1,120
Mar 2021,Province 2,79
Mar 2021,Sudurpashchim,49
Apr 2021,Bagmati,141
Apr 2021,Gandaki,59
Apr 2021,Karnali,24
Apr 2021,Lumbini,107
Apr 2021,Province 1,128
Apr 2021,Province 2,78
Apr 2021,Sudurpashchim,52
May 2021,Bagmati,146
May 2021,Gandaki,55
May 2021,Karnali,27
May 2021,Lumbini,109
May 2021,Province 1,148
May 2021,Province 2,87
May 2021,Sudurpashchim,57
Jun 2021,Bagmati,156
Jun 2021,Gandaki,53
Jun 2021,Karnali,35
Jun 2021,Lumbini,146
Jun 2021,Province 1,166
Jun 2021,Province 2,112
Jun 2021,Sudurpashchim,64
